Season,TeamID,Seed,TeamName
2026,1103,12.0,Akron
2026,1104,4.0,Alabama
2026,1112,1.0,Arizona
2026,1116,4.0,Arkansas
2026,1140,6.0,BYU
2026,1155,8.0,Clemson
2026,1163,2.0,Connecticut
2026,1181,1.0,Duke
2026,1196,1.0,Florida
2026,1202,15.0,Furman
2026,1208,8.0,Georgia
2026,1211,3.0,Gonzaga
2026,1218,13.0,Hawaii
2026,1219,12.0,High Point
2026,1220,13.0,Hofstra
2026,1222,2.0,Houston
2026,1224,16.0,Howard
2026,1225,15.0,Idaho
2026,1228,3.0,Illinois
2026,1234,9.0,Iowa
2026,1235,2.0,Iowa St
2026,1242,4.0,Kansas
2026,1244,14.0,Kennesaw
2026,1246,7.0,Kentucky
2026,1250,16.0,Lehigh
2026,1254,16.0,LIU Brooklyn
2026,1257,6.0,Louisville
2026,1270,12.0,McNeese St
2026,1274,7.0,Miami FL
2026,1275,11.0,Miami OH
2026,1276,1.0,Michigan
2026,1277,3.0,Michigan St
2026,1281,10.0,Missouri
2026,1295,14.0,N Dakota St
2026,1301,11.0,NC State
2026,1304,4.0,Nebraska
2026,1314,6.0,North Carolina
2026,1320,12.0,Northern Iowa
2026,1326,8.0,Ohio St
2026,1335,14.0,Penn
2026,1341,16.0,Prairie View
2026,1345,2.0,Purdue
2026,1365,10.0,Santa Clara
2026,1373,16.0,Siena
2026,1374,11.0,SMU
2026,1378,11.0,South Florida
2026,1385,5.0,St John's
2026,1387,9.0,St Louis
2026,1388,7.0,St Mary's CA
2026,1395,9.0,TCU
2026,1397,6.0,Tennessee
2026,1398,15.0,Tennessee St
2026,1400,11.0,Texas
2026,1401,10.0,Texas A&M
2026,1403,5.0,Texas Tech
2026,1407,13.0,Troy
2026,1416,10.0,UCF
2026,1417,7.0,UCLA
2026,1420,16.0,UMBC
2026,1429,9.0,Utah St
2026,1433,11.0,VCU
2026,1435,5.0,Vanderbilt
2026,1437,8.0,Villanova
2026,1438,3.0,Virginia
2026,1458,5.0,Wisconsin
2026,1460,14.0,Wright St
2026,1465,13.0,Cal Baptist
2026,1474,15.0,Queens NC
