Season,DayNum,TeamAID,TeamBID,target_teamA_win,TeamA_seed_num,TeamB_seed_num,seed_gap,delta_kp_adjem,delta_kp_adjoe,delta_kp_rankadjde,delta_kp_rankoe,delta_lms_residual_std,delta_rs_ast_to_ratio,delta_rs_drb,delta_rs_fgm,delta_rs_ft_pct,delta_rs_ft_rate,delta_rs_opp_blk,delta_rs_opp_ft_pct,delta_rs_pf,delta_rs_win_pct,delta_tourney_seed_num
2003,134,1411,1421,0,16.0,16.0,0.0,3.629249999999999,-2.2369999999999948,-42.0,-40.0,0.6376427812713867,0.12791098282042934,1.6275862068965523,0.35402298850574354,-0.14281521598766578,0.1392918952688773,-1.6413793103448273,-0.03705094300608347,-0.8034482758620669,0.15172413793103445,0.0
2003,134,1421,1411,1,16.0,16.0,0.0,-3.629249999999999,2.2369999999999948,42.0,40.0,-0.6376427812713867,-0.12791098282042934,-1.6275862068965523,-0.35402298850574354,0.14281521598766578,-0.1392918952688773,1.6413793103448273,0.03705094300608347,0.8034482758620669,-0.15172413793103445,0.0
2003,136,1112,1436,1,1.0,16.0,15.0,24.5867,13.588000000000008,-109.0,-104.0,2.911999948756952,0.18343279340721774,1.9187192118226584,5.493842364532021,0.0435802469135802,0.0304347826086957,-1.2623152709359613,-0.036519728947554286,1.8534482758620694,0.23768472906403948,-15.0
2003,136,1113,1272,1,10.0,7.0,-3.0,-1.0854,1.8119999999999976,36.0,-37.0,1.575261822496591,-0.09416256157635483,-2.655172413793103,0.9310344827586192,0.016122384273937973,0.0789968652037617,0.7586206896551726,0.04348494805576153,0.6551724137931103,-0.1724137931034483,3.0
2003,136,1140,1163,0,12.0,5.0,-7.0,-0.18680000000000163,-1.1929999999999978,-5.0,-13.0,-3.9207844445408124,-0.012925655197004837,-3.480645161290319,-5.501075268817203,0.07879586054407406,0.1160601725285777,-1.9075268817204307,-0.01248473748473744,3.019354838709681,0.041935483870967794,7.0
2003,136,1141,1166,1,11.0,6.0,-5.0,-7.945499999999999,-3.1629999999999967,70.0,31.0,-1.7616560461868307,-0.4021706981469335,0.09404388714733614,-2.076280041797279,0.07286386338673234,0.12911999911635397,-0.09299895506792089,0.009031673537766238,3.6927899686520362,-0.08568443051201668,5.0
2003,136,1143,1301,1,8.0,9.0,1.0,0.5522999999999989,-1.6159999999999997,-30.0,23.0,-2.4117633836409826,0.09608992152427942,2.3459770114942557,3.011494252873568,-0.08484593869775914,-0.05139533176746913,-0.3160919540229883,-0.044596912521440824,-1.5632183908046002,0.12413793103448278,-1.0
2003,136,1153,1211,0,8.0,9.0,1.0,0.3788999999999998,-6.878,-66.0,145.0,0.9121476946793017,0.07620924694095432,-1.929723502304146,-3.1716589861751174,-0.031320274717164476,-0.0644822516278093,0.9389400921658986,-0.027145850482676148,0.31912442396313523,-0.13479262672811065,-1.0
2003,136,1161,1181,0,14.0,3.0,-11.0,-16.52759,-4.616,201.0,30.0,0.9805570220068276,-0.02500441687442334,0.3666666666666636,-0.9666666666666686,-0.008476677716582559,0.0005775831291998101,-1.0333333333333328,-0.009967612619754096,-0.7000000000000028,-0.2333333333333334,11.0
2003,136,1163,1140,1,5.0,12.0,7.0,0.18680000000000163,1.1929999999999978,5.0,13.0,3.9207844445408124,0.012925655197004837,3.480645161290319,5.501075268817203,-0.07879586054407406,-0.1160601725285777,1.9075268817204307,0.01248473748473744,-3.019354838709681,-0.041935483870967794,-7.0
2003,136,1166,1141,0,6.0,11.0,5.0,7.945499999999999,3.1629999999999967,-70.0,-31.0,1.7616560461868307,0.4021706981469335,-0.09404388714733614,2.076280041797279,-0.07286386338673234,-0.12911999911635397,0.09299895506792089,-0.009031673537766238,-3.6927899686520362,0.08568443051201668,-5.0
2003,136,1173,1409,0,4.0,13.0,9.0,4.3988,9.763999999999996,87.0,-65.0,-1.3124666441687314,0.11095551510059298,-2.634037819799776,-1.9043381535038968,-0.011539013394216924,0.08055133386296381,0.15016685205784297,0.03394423095871524,0.2636262513904306,0.11790878754171297,-9.0
2003,136,1181,1161,1,3.0,14.0,11.0,16.52759,4.616,-201.0,-30.0,-0.9805570220068276,0.02500441687442334,-0.3666666666666636,0.9666666666666686,0.008476677716582559,-0.0005775831291998101,1.0333333333333328,0.009967612619754096,0.7000000000000028,0.2333333333333334,-11.0
2003,136,1211,1153,1,9.0,8.0,-1.0,-0.3788999999999998,6.878,66.0,-145.0,-0.9121476946793017,-0.07620924694095432,1.929723502304146,3.1716589861751174,0.031320274717164476,0.0644822516278093,-0.9389400921658986,0.027145850482676148,-0.31912442396313523,0.13479262672811065,1.0
2003,136,1221,1266,0,14.0,3.0,-11.0,-11.041300000000001,-13.798999999999992,-39.0,69.0,1.7046305039239744,-0.09619593538301219,0.23891625615763346,-3.0073891625615765,-0.06443790914360847,0.00019973631484410115,0.2943349753694582,-0.035701347630778146,-0.26354679802955516,0.04064039408866993,11.0
2003,136,1228,1443,1,4.0,13.0,9.0,13.375699999999998,6.067000000000007,-54.0,-44.0,-1.0541642671502593,0.45117155938594145,2.1419354838709666,1.3903225806451616,0.06043357830187179,-0.035086358625624814,-0.04838709677419306,0.015438711867283295,0.681720430107525,0.058064516129032295,-9.0
2003,136,1242,1429,1,2.0,15.0,13.0,20.36249,7.143000000000001,-117.0,-28.0,0.15927148072559838,-0.013197276423507542,4.533333333333331,6.533333333333331,-0.05254079933009903,-0.0022291272165066434,2.3000000000000003,-0.006672881605416903,0.5999999999999979,0.03333333333333344,-13.0
2003,136,1266,1221,1,3.0,14.0,11.0,11.041300000000001,13.798999999999992,39.0,-69.0,-1.7046305039239744,0.09619593538301219,-0.23891625615763346,3.0073891625615765,0.06443790914360847,-0.00019973631484410115,-0.2943349753694582,0.035701347630778146,0.26354679802955516,-0.04064039408866993,-11.0
2003,136,1272,1113,0,7.0,10.0,3.0,1.0854,-1.8119999999999976,-36.0,37.0,-1.575261822496591,0.09416256157635483,2.655172413793103,-0.9310344827586192,-0.016122384273937973,-0.0789968652037617,-0.7586206896551726,-0.04348494805576153,-0.6551724137931103,0.1724137931034483,-3.0
2003,136,1281,1356,1,6.0,11.0,5.0,5.7904,0.6020000000000039,-71.0,52.0,0.0664297693150715,-0.07585466034755117,3.4365591397849435,-1.205376344086023,-0.04721576239219205,-0.028441467120380703,0.8301075268817204,-0.01708701134930657,-2.4623655913978446,-0.12258064516129041,-5.0
2003,136,1301,1143,0,9.0,8.0,-1.0,-0.5522999999999989,1.6159999999999997,30.0,-23.0,2.4117633836409826,-0.09608992152427942,-2.3459770114942557,-3.011494252873568,0.08484593869775914,0.05139533176746913,0.3160919540229883,0.044596912521440824,1.5632183908046002,-0.12413793103448278,1.0
2003,136,1323,1454,1,5.0,12.0,7.0,7.043999999999999,8.13199999999999,18.0,-20.0,0.06421234961055688,0.17300810798568622,3.870967741935484,-0.040860215053761806,0.06937378636511404,0.004504267662162442,1.016129032258065,-0.016331773557207052,-3.907526881720429,-0.05698924731182797,-7.0
2003,136,1328,1354,1,1.0,16.0,15.0,32.40364,16.392899999999997,-216.0,-151.0,0.8631918261184559,0.6731677114774397,0.6999999999999993,0.466666666666665,0.008918896390764264,-0.1455460534687597,-0.5,0.015486838742652553,-2.1333333333333293,0.13333333333333341,-15.0
2003,136,1354,1328,0,16.0,1.0,-15.0,-32.40364,-16.392899999999997,216.0,151.0,-0.8631918261184559,-0.6731677114774397,-0.6999999999999993,-0.466666666666665,-0.008918896390764264,0.1455460534687597,0.5,-0.015486838742652553,2.1333333333333293,-0.13333333333333341,15.0
2003,136,1356,1281,0,11.0,6.0,-5.0,-5.7904,-0.6020000000000039,71.0,-52.0,-0.0664297693150715,0.07585466034755117,-3.4365591397849435,1.205376344086023,0.04721576239219205,0.028441467120380703,-0.8301075268817204,0.01708701134930657,2.4623655913978446,0.12258064516129041,5.0
2003,136,1360,1390,0,13.0,4.0,-9.0,-6.535739999999999,-5.1059999999999945,16.0,61.0,-0.49558582044516086,-0.12075434963450649,1.228110599078338,-0.43087557603686477,-0.01739256849574833,0.13368445370843868,1.1382488479262673,-0.02236953682555598,1.6267281105990783,-0.13479262672811065,9.0
2003,136,1390,1360,1,4.0,13.0,9.0,6.535739999999999,5.1059999999999945,-16.0,-61.0,0.49558582044516086,0.12075434963450649,-1.228110599078338,0.43087557603686477,0.01739256849574833,-0.13368445370843868,-1.1382488479262673,0.02236953682555598,-1.6267281105990783,0.13479262672811065,-9.0
